============================================================
  Experiment 5 -- Proximity vs Diversity 2x2
  bash src/exp5/run_exp5.sh > results/exp5/results.txt 2>&1
============================================================
[IRM - Config A - train_domain_val]
Using device: cuda
Mode: irm  |  Config: A  |  e values: [0.1, 0.2]  |  Selection: train_domain_val  |  Trials: 50
Trial 03 | score: 0.7993 | val: ['0.9004', '0.7993'] | test: 0.0988 | elapsed: 0.9s
Trial 04 | score: 0.7992 | val: ['0.8651', '0.7992'] | test: 0.1764 | elapsed: 2.4s
Trial 05 | score: 0.7993 | val: ['0.9003', '0.7993'] | test: 0.0990 | elapsed: 2.8s
Trial 06 | score: 0.7991 | val: ['0.8722', '0.7991'] | test: 0.1611 | elapsed: 3.5s
Trial 07 | score: 0.7993 | val: ['0.8793', '0.7993'] | test: 0.1494 | elapsed: 2.9s
Trial 08 | score: 0.7923 | val: ['0.8162', '0.7923'] | test: 0.3111 | elapsed: 1.3s
Trial 09 | score: 0.7988 | val: ['0.8568', '0.7988'] | test: 0.1911 | elapsed: 1.0s
Trial 10 | score: 0.7978 | val: ['0.8353', '0.7978'] | test: 0.2408 | elapsed: 0.9s
Trial 11 | score: 0.7951 | val: ['0.8613', '0.7951'] | test: 0.2011 | elapsed: 0.9s
Trial 12 | score: 0.7993 | val: ['0.8820', '0.7993'] | test: 0.1431 | elapsed: 2.2s
Trial 13 | score: 0.7989 | val: ['0.8620', '0.7989'] | test: 0.1851 | elapsed: 1.4s
Trial 14 | score: 0.7993 | val: ['0.8989', '0.7993'] | test: 0.1015 | elapsed: 4.0s
Trial 15 | score: 0.7980 | val: ['0.8242', '0.7980'] | test: 0.2234 | elapsed: 2.7s
Trial 16 | score: 0.7990 | val: ['0.8673', '0.7990'] | test: 0.1747 | elapsed: 3.2s
Trial 17 | score: 0.7991 | val: ['0.8625', '0.7991'] | test: 0.1814 | elapsed: 0.8s
Trial 18 | score: 0.7993 | val: ['0.9008', '0.7993'] | test: 0.0987 | elapsed: 5.5s
Trial 19 | score: 0.7995 | val: ['0.8078', '0.7995'] | test: 0.2644 | elapsed: 6.1s
Trial 20 | score: 0.7993 | val: ['0.8644', '0.7993'] | test: 0.1790 | elapsed: 3.7s
Trial 21 | score: 0.7972 | val: ['0.8627', '0.7972'] | test: 0.1835 | elapsed: 0.8s
Trial 22 | score: 0.7979 | val: ['0.8522', '0.7979'] | test: 0.2068 | elapsed: 1.0s
Trial 23 | score: 0.7993 | val: ['0.9002', '0.7993'] | test: 0.0990 | elapsed: 4.0s
Trial 24 | score: 0.7992 | val: ['0.8680', '0.7992'] | test: 0.1751 | elapsed: 2.2s
Trial 25 | score: 0.7993 | val: ['0.9007', '0.7993'] | test: 0.0987 | elapsed: 0.7s
Trial 26 | score: 0.7994 | val: ['0.8791', '0.7994'] | test: 0.1491 | elapsed: 2.4s
Trial 27 | score: 0.7993 | val: ['0.8942', '0.7993'] | test: 0.1174 | elapsed: 3.6s
Trial 28 | score: 0.7988 | val: ['0.8834', '0.7988'] | test: 0.1408 | elapsed: 0.7s
Trial 29 | score: 0.7812 | val: ['0.8215', '0.7812'] | test: 0.2926 | elapsed: 3.4s
Trial 30 | score: 0.7993 | val: ['0.8993', '0.7993'] | test: 0.1018 | elapsed: 1.9s
Trial 31 | score: 0.7993 | val: ['0.9006', '0.7993'] | test: 0.0987 | elapsed: 4.2s
Trial 32 | score: 0.7987 | val: ['0.8506', '0.7987'] | test: 0.2033 | elapsed: 3.8s
Trial 33 | score: 0.7916 | val: ['0.7941', '0.7916'] | test: 0.3305 | elapsed: 3.7s
Trial 34 | score: 0.7993 | val: ['0.9008', '0.7993'] | test: 0.0987 | elapsed: 0.8s
Trial 35 | score: 0.7939 | val: ['0.8125', '0.7939'] | test: 0.3136 | elapsed: 4.9s
Trial 36 | score: 0.7993 | val: ['0.8901', '0.7993'] | test: 0.1260 | elapsed: 4.0s
Trial 37 | score: 0.7849 | val: ['0.8107', '0.7849'] | test: 0.3187 | elapsed: 2.1s
Trial 38 | score: 0.7993 | val: ['0.8866', '0.7993'] | test: 0.1302 | elapsed: 0.6s
Trial 39 | score: 0.7912 | val: ['0.8076', '0.7912'] | test: 0.3099 | elapsed: 3.1s
Trial 40 | score: 0.7992 | val: ['0.8725', '0.7992'] | test: 0.1602 | elapsed: 0.7s
Trial 41 | score: 0.7993 | val: ['0.9007', '0.7993'] | test: 0.0987 | elapsed: 2.2s
Trial 42 | score: 0.7993 | val: ['0.8914', '0.7993'] | test: 0.1203 | elapsed: 2.5s
Trial 43 | score: 0.7993 | val: ['0.8978', '0.7993'] | test: 0.1041 | elapsed: 2.7s
Trial 44 | score: 0.7993 | val: ['0.8894', '0.7993'] | test: 0.1265 | elapsed: 1.1s
Trial 45 | score: 0.7993 | val: ['0.8900', '0.7993'] | test: 0.1221 | elapsed: 3.0s
Trial 46 | score: 0.7960 | val: ['0.8556', '0.7960'] | test: 0.2096 | elapsed: 3.0s
Trial 47 | score: 0.7694 | val: ['0.8703', '0.7694'] | test: 0.2477 | elapsed: 1.8s
Trial 48 | score: 0.7993 | val: ['0.8998', '0.7993'] | test: 0.0996 | elapsed: 1.7s
Trial 49 | score: 0.7993 | val: ['0.8803', '0.7993'] | test: 0.1415 | elapsed: 0.7s

Best score: 0.7995
Best hparams: {'hidden_dim': 468, 'l2_regularizer_weight': 2.7944222890926726e-05, 'lr': 0.0029691272702386, 'penalty_anneal_iters': 123, 'penalty_weight': 194758.00184431672, 'steps': 501, 'grayscale_model': False}
Saved -> results/exp5/search_results_irm_A_leave_one_domain_out.json
[IRM - Config B - oracle]
Using device: cuda
Mode: irm  |  Config: B  |  e values: [0.7, 0.8]  |  Selection: oracle  |  Trials: 50

Trial 00 | score: 0.7188 | val: [] | test: 0.8301 | elapsed: 1.2s
Trial 01 | score: 0.7516 | val: [] | test: 0.7516 | elapsed: 3.1s
Trial 02 | score: 0.7868 | val: [] | test: 0.8610 | elapsed: 0.8s
Trial 03 | score: 0.6501 | val: [] | test: 0.6501 | elapsed: 0.9s
Trial 04 | score: 0.7116 | val: [] | test: 0.7116 | elapsed: 1.6s
Trial 05 | score: 0.6426 | val: [] | test: 0.6453 | elapsed: 2.0s
Trial 06 | score: 0.7537 | val: [] | test: 0.7537 | elapsed: 2.6s
Trial 07 | score: 0.7381 | val: [] | test: 0.7386 | elapsed: 2.4s
Trial 08 | score: 0.7335 | val: [] | test: 0.7335 | elapsed: 1.2s
Trial 09 | score: 0.7158 | val: [] | test: 0.7158 | elapsed: 1.0s
Trial 10 | score: 0.6986 | val: [] | test: 0.7108 | elapsed: 0.8s
Trial 11 | score: 0.7428 | val: [] | test: 0.7428 | elapsed: 0.9s
Trial 12 | score: 0.7277 | val: [] | test: 0.7277 | elapsed: 1.5s
Trial 13 | score: 0.7759 | val: [] | test: 0.7884 | elapsed: 1.3s
Trial 14 | score: 0.6588 | val: [] | test: 0.6622 | elapsed: 3.6s
Trial 15 | score: 0.7502 | val: [] | test: 0.7502 | elapsed: 2.4s
Trial 16 | score: 0.7400 | val: [] | test: 0.7400 | elapsed: 3.1s
Trial 17 | score: 0.7419 | val: [] | test: 0.7497 | elapsed: 0.7s
Trial 18 | score: 0.6232 | val: [] | test: 0.6312 | elapsed: 5.0s
Trial 19 | score: 0.6273 | val: [] | test: 0.6273 | elapsed: 5.5s
Trial 20 | score: 0.7668 | val: [] | test: 0.7802 | elapsed: 2.7s
Trial 21 | score: 0.7556 | val: [] | test: 0.8474 | elapsed: 0.6s
Trial 22 | score: 0.7888 | val: [] | test: 0.8189 | elapsed: 0.7s
Trial 23 | score: 0.6733 | val: [] | test: 0.6979 | elapsed: 2.5s
Trial 24 | score: 0.7586 | val: [] | test: 0.7632 | elapsed: 1.2s
Trial 25 | score: 0.7018 | val: [] | test: 0.8976 | elapsed: 0.5s
Trial 26 | score: 0.7479 | val: [] | test: 0.7546 | elapsed: 1.8s
Trial 27 | score: 0.7093 | val: [] | test: 0.7122 | elapsed: 2.1s
Trial 28 | score: 0.7572 | val: [] | test: 0.8334 | elapsed: 0.5s
Trial 29 | score: 0.7630 | val: [] | test: 0.7630 | elapsed: 2.9s
Trial 30 | score: 0.6772 | val: [] | test: 0.6813 | elapsed: 2.1s
