============================================================
  Experiment 3 -- Number of Environments (Increasing Diversity)
  bash src/exp3/run_exp3.sh > results/exp3/results.txt 2>&1
============================================================
[IRM - n_envs=1 - oracle]
Using device: cuda
Mode: irm  |  n_envs: 1  |  Selection: oracle  |  Trials: 50

Trial 16 | score: 0.8960 | val: ['0.8960'] | test: 0.0991 | elapsed: 2.3s
Trial 17 | score: 0.8959 | val: ['0.8959'] | test: 0.0987 | elapsed: 0.6s
Trial 18 | score: 0.8961 | val: ['0.8961'] | test: 0.0987 | elapsed: 3.9s
Trial 19 | score: 0.8519 | val: ['0.8519'] | test: 0.2959 | elapsed: 4.3s
Trial 20 | score: 0.8962 | val: ['0.8962'] | test: 0.0991 | elapsed: 2.0s
Trial 21 | score: 0.8932 | val: ['0.8932'] | test: 0.1097 | elapsed: 0.5s
Trial 22 | score: 0.8954 | val: ['0.8954'] | test: 0.1031 | elapsed: 0.5s
Trial 23 | score: 0.8961 | val: ['0.8961'] | test: 0.0987 | elapsed: 1.9s
Trial 24 | score: 0.8961 | val: ['0.8961'] | test: 0.0991 | elapsed: 0.9s
Trial 25 | score: 0.8961 | val: ['0.8961'] | test: 0.0987 | elapsed: 0.4s
Trial 26 | score: 0.8958 | val: ['0.8958'] | test: 0.0988 | elapsed: 1.5s
Trial 27 | score: 0.8959 | val: ['0.8959'] | test: 0.0987 | elapsed: 1.7s
Trial 28 | score: 0.8960 | val: ['0.8960'] | test: 0.0989 | elapsed: 0.4s
Trial 29 | score: 0.7386 | val: ['0.7386'] | test: 0.4204 | elapsed: 2.3s
Trial 30 | score: 0.8961 | val: ['0.8961'] | test: 0.0987 | elapsed: 1.5s
Trial 31 | score: 0.8961 | val: ['0.8961'] | test: 0.0987 | elapsed: 2.7s
Trial 32 | score: 0.8961 | val: ['0.8961'] | test: 0.0992 | elapsed: 1.8s
Trial 33 | score: 0.8825 | val: ['0.8825'] | test: 0.1440 | elapsed: 1.7s
Trial 34 | score: 0.8961 | val: ['0.8961'] | test: 0.0987 | elapsed: 0.3s
