============================================================
  Experiment 4 -- Number of Environments (Fixed Range)
  bash src/exp4/run_exp4.sh > results/exp4/results.txt 2>&1
============================================================
[IRM - n_envs=1 - oracle]
Using device: cuda
Mode: irm  |  n_envs: 1  |  Selection: oracle  |  Trials: 50

Trial 17 | score: 0.8440 | val: ['0.8440'] | test: 0.1485 | elapsed: 0.5s
Trial 18 | score: 0.8508 | val: ['0.8508'] | test: 0.0987 | elapsed: 3.9s
Trial 19 | score: 0.8129 | val: ['0.8129'] | test: 0.3044 | elapsed: 4.2s
Trial 20 | score: 0.8472 | val: ['0.8472'] | test: 0.1160 | elapsed: 1.8s
Trial 21 | score: 0.8445 | val: ['0.8445'] | test: 0.1392 | elapsed: 0.4s
Trial 22 | score: 0.8447 | val: ['0.8447'] | test: 0.1436 | elapsed: 0.4s
Trial 23 | score: 0.8508 | val: ['0.8508'] | test: 0.0987 | elapsed: 1.8s
Trial 24 | score: 0.8476 | val: ['0.8476'] | test: 0.1186 | elapsed: 1.0s
Trial 25 | score: 0.8508 | val: ['0.8508'] | test: 0.0987 | elapsed: 0.3s
Trial 26 | score: 0.8502 | val: ['0.8502'] | test: 0.1029 | elapsed: 1.2s
Trial 27 | score: 0.8502 | val: ['0.8502'] | test: 0.0994 | elapsed: 1.6s
Trial 28 | score: 0.8489 | val: ['0.8489'] | test: 0.1090 | elapsed: 0.4s
Trial 29 | score: 0.7950 | val: ['0.7950'] | test: 0.3847 | elapsed: 2.3s
Trial 30 | score: 0.8509 | val: ['0.8509'] | test: 0.0990 | elapsed: 1.1s
Trial 31 | score: 0.8508 | val: ['0.8508'] | test: 0.0987 | elapsed: 2.4s
Trial 32 | score: 0.8472 | val: ['0.8472'] | test: 0.1160 | elapsed: 1.6s
Trial 33 | score: 0.8317 | val: ['0.8317'] | test: 0.2127 | elapsed: 1.8s
Trial 34 | score: 0.8508 | val: ['0.8508'] | test: 0.0987 | elapsed: 0.4s
Trial 35 | score: 0.8252 | val: ['0.8252'] | test: 0.2618 | elapsed: 3.1s
